epoch,accuracy,bias,w1,w2,w3,w4
1,0.4750,3.1000,14.7836,5.8272,10.8185,5.1597
2,0.4750,5.2000,28.6436,12.0972,22.5635,9.4597
3,0.4750,7.3000,42.5036,18.3672,34.3085,13.7597
4,0.4750,9.4000,56.3636,24.6372,46.0535,18.0597
5,0.4750,11.5000,70.2236,30.9072,57.7985,22.3597
6,0.4750,13.6000,84.0836,37.1772,69.5435,26.6597
7,0.4750,15.7000,97.9436,43.4472,81.2885,30.9597
8,0.4750,17.8000,111.8036,49.7172,93.0335,35.2597
9,0.4750,19.9000,125.6636,55.9872,104.7785,39.5597
10,0.4750,22.0000,139.5237,62.2572,116.5235,43.8597
11,0.4750,24.0999,153.3837,68.5272,128.2685,48.1597
12,0.4750,26.1999,167.2437,74.7972,140.0135,52.4597
13,0.4750,28.2999,181.1037,81.0673,151.7585,56.7597
14,0.4750,30.3998,194.9637,87.3373,163.5036,61.0597
15,0.4750,32.4998,208.8237,93.6073,175.2486,65.3597
16,0.4750,34.5998,222.6837,99.8774,186.9936,69.6597
17,0.4750,36.6997,236.5438,106.1474,198.7386,73.9596
18,0.4750,38.7997,250.4038,112.4174,210.4836,78.2596
19,0.4750,40.8997,264.2638,118.6874,222.2286,82.5596
20,0.4750,42.9996,278.1238,124.9575,233.9736,86.8596
21,0.4750,45.0996,291.9839,131.2274,245.7186,91.1596
22,0.4750,47.1996,305.8439,137.4973,257.4637,95.4595
23,0.4750,49.2995,319.7039,143.7673,269.2087,99.7595
24,0.4750,51.3995,333.5640,150.0372,280.9537,104.0595
25,0.4750,53.4995,347.4240,156.3071,292.6987,108.3595
26,0.4750,55.5994,361.2841,162.5770,304.4438,112.6595
27,0.4750,57.6994,375.1441,168.8469,316.1888,116.9594
28,0.4750,59.7994,389.0042,175.1168,327.9338,121.2594
29,0.4750,61.8993,402.8642,181.3867,339.6788,125.5594
30,0.4750,63.9993,416.7243,187.6566,351.4239,129.8594
31,0.4750,66.0994,430.5843,193.9266,363.1689,134.1595
32,0.4750,68.1996,444.4444,200.1965,374.9139,138.4595
33,0.4750,70.2997,458.3044,206.4664,386.6589,142.7595
34,0.4750,72.3998,472.1645,212.7363,398.4040,147.0596
35,0.4750,74.4999,486.0245,219.0062,410.1490,151.3596
36,0.4750,76.6001,499.8846,225.2761,421.8940,155.6596
37,0.4750,78.7002,513.7446,231.5460,433.6390,159.9597
38,0.4750,80.8003,527.6047,237.8159,445.3841,164.2597
39,0.4750,82.9005,541.4647,244.0859,457.1291,168.5597
40,0.4750,85.0006,555.3248,250.3558,468.8741,172.8598
41,0.4750,87.1007,569.1848,256.6257,480.6191,177.1598
42,0.4750,89.2008,583.0449,262.8958,492.3642,181.4598
43,0.4750,91.3010,596.9049,269.1659,504.1092,185.7599
44,0.4750,93.4011,610.7650,275.4359,515.8543,190.0599
45,0.4750,95.5012,624.6250,281.7060,527.5994,194.3599
46,0.4750,97.6014,638.4850,287.9761,539.3445,198.6600
47,0.4750,99.7015,652.3451,294.2462,551.0897,202.9600
48,0.4750,101.8016,666.2051,300.5163,562.8348,207.2600
49,0.4750,103.9017,680.0652,306.7863,574.5799,211.5601
50,0.4750,106.0019,693.9252,313.0564,586.3250,215.8601
51,0.4750,108.1020,707.7853,319.3265,598.0701,220.1601
52,0.4750,110.2021,721.6453,325.5966,609.8152,224.4602
53,0.4750,112.3023,735.5054,331.8667,621.5604,228.7602
54,0.4750,114.4024,749.3654,338.1367,633.3055,233.0602
55,0.4750,116.5025,763.2255,344.4068,645.0506,237.3603
56,0.4750,118.6026,777.0855,350.6769,656.7957,241.6603
57,0.4750,120.7028,790.9456,356.9470,668.5408,245.9603
58,0.4750,122.8029,804.8056,363.2171,680.2859,250.2604
59,0.4750,124.9030,818.6656,369.4872,692.0311,254.5604
60,0.4750,127.0032,832.5257,375.7572,703.7762,258.8604
61,0.4750,129.1033,846.3857,382.0273,715.5213,263.1603
62,0.4750,131.2034,860.2458,388.2974,727.2664,267.4603
63,0.4750,133.3035,874.1058,394.5675,739.0115,271.7602
64,0.4750,135.4037,887.9659,400.8376,750.7567,276.0602
65,0.4750,137.5038,901.8259,407.1076,762.5018,280.3601
66,0.4750,139.6039,915.6860,413.3777,774.2469,284.6601
67,0.4750,141.7040,929.5460,419.6478,785.9920,288.9601
68,0.4750,143.8042,943.4061,425.9179,797.7371,293.2600
69,0.4750,145.9043,957.2661,432.1880,809.4822,297.5600
70,0.4750,148.0044,971.1262,438.4580,821.2274,301.8599
71,0.4750,150.1046,984.9862,444.7281,832.9725,306.1599
72,0.4750,152.2047,998.8463,450.9982,844.7176,310.4598
73,0.4750,154.3048,1012.7063,457.2683,856.4627,314.7598
74,0.4750,156.4049,1026.5663,463.5384,868.2078,319.0598
75,0.4750,158.5051,1040.4258,469.8084,879.9529,323.3597
76,0.4750,160.6052,1054.2853,476.0785,891.6981,327.6597
77,0.4750,162.7053,1068.1448,482.3486,903.4432,331.9596
78,0.4750,164.8055,1082.0043,488.6187,915.1883,336.2596
79,0.4750,166.9056,1095.8638,494.8888,926.9334,340.5595
80,0.4750,169.0057,1109.7233,501.1588,938.6785,344.8595
81,0.4750,171.1058,1123.5828,507.4289,950.4236,349.1595
82,0.4750,173.2060,1137.4423,513.6991,962.1688,353.4594
83,0.4750,175.3061,1151.3018,519.9694,973.9139,357.7594
84,0.4750,177.4062,1165.1613,526.2396,985.6590,362.0593
85,0.4750,179.5063,1179.0208,532.5099,997.4041,366.3593
86,0.4750,181.6065,1192.8802,538.7802,1009.1492,370.6592
87,0.4750,183.7066,1206.7397,545.0504,1020.8943,374.9592
88,0.4750,185.8067,1220.5992,551.3207,1032.6396,379.2592
89,0.4750,187.9069,1234.4587,557.5909,1044.3851,383.5591
90,0.4750,190.0070,1248.3182,563.8612,1056.1306,387.8591
91,0.4750,192.1071,1262.1777,570.1315,1067.8761,392.1590
92,0.4750,194.2072,1276.0372,576.4017,1079.6216,396.4590
93,0.4750,196.3074,1289.8967,582.6720,1091.3671,400.7589
94,0.4750,198.4075,1303.7562,588.9423,1103.1125,405.0589
95,0.4750,200.5076,1317.6157,595.2125,1114.8580,409.3589
96,0.4750,202.6078,1331.4752,601.4828,1126.6035,413.6588
97,0.4750,204.7079,1345.3347,607.7531,1138.3490,417.9588
98,0.4750,206.8080,1359.1942,614.0233,1150.0945,422.2587
99,0.4750,208.9081,1373.0537,620.2936,1161.8400,426.5587
100,0.4750,211.0083,1386.9132,626.5638,1173.5854,430.8586
