epoch,accuracy,bias,w1,w2,w3,w4
1,0.4500,3.2500,15.0986,6.7481,11.4991,4.5402
2,0.4500,5.4500,29.5436,13.2581,23.7191,8.9552
3,0.4500,7.6500,43.9886,19.7681,35.9391,13.3702
4,0.4500,9.8500,58.4336,26.2781,48.1591,17.7852
5,0.4500,12.0500,72.8786,32.7881,60.3791,22.2002
6,0.4500,14.2500,87.3236,39.2981,72.5991,26.6152
7,0.4500,16.4500,101.7687,45.8081,84.8191,31.0302
8,0.4500,18.6500,116.2137,52.3181,97.0391,35.4453
9,0.4500,20.8500,130.6587,58.8281,109.2591,39.8603
10,0.4500,23.0499,145.1037,65.3381,121.4791,44.2753
11,0.4500,25.2499,159.5487,71.8482,133.6991,48.6903
12,0.4500,27.4499,173.9937,78.3582,145.9191,53.1053
13,0.4500,29.6498,188.4387,84.8682,158.1391,57.5203
14,0.4500,31.8498,202.8837,91.3782,170.3591,61.9353
15,0.4500,34.0498,217.3287,97.8883,182.5791,66.3503
16,0.4500,36.2497,231.7737,104.3983,194.7991,70.7653
17,0.4500,38.4497,246.2188,110.9083,207.0191,75.1802
18,0.4500,40.6497,260.6638,117.4183,219.2391,79.5952
19,0.4500,42.8496,275.1088,123.9284,231.4591,84.0101
20,0.4500,45.0496,289.5538,130.4384,243.6791,88.4251
21,0.4500,47.2496,303.9989,136.9483,255.8991,92.8400
22,0.4500,49.4495,318.4439,143.4582,268.1191,97.2550
23,0.4500,51.6495,332.8889,149.9681,280.3391,101.6699
24,0.4500,53.8495,347.3340,156.4780,292.5591,106.0849
25,0.4500,56.0494,361.7790,162.9879,304.7791,110.4999
26,0.4500,58.2494,376.2241,169.4979,316.9991,114.9148
27,0.4500,60.4494,390.6691,176.0078,329.2191,119.3298
28,0.4500,62.6493,405.1141,182.5177,341.4391,123.7447
29,0.4500,64.8494,419.5592,189.0276,353.6591,128.1597
30,0.4500,67.0495,434.0042,195.5375,365.8791,132.5747
31,0.4500,69.2496,448.4492,202.0475,378.0991,136.9897
32,0.4500,71.4498,462.8943,208.5574,390.3191,141.4048
33,0.4500,73.6499,477.3393,215.0673,402.5391,145.8198
34,0.4500,75.8500,491.7844,221.5772,414.7591,150.2348
35,0.4500,78.0502,506.2294,228.0871,426.9791,154.6498
36,0.4500,80.2503,520.6745,234.5970,439.1991,159.0648
37,0.4500,82.4504,535.1195,241.1070,451.4191,163.4799
38,0.4500,84.6506,549.5645,247.6169,463.6391,167.8949
39,0.4500,86.8507,564.0095,254.1268,475.8591,172.3099
40,0.4500,89.0508,578.4545,260.6369,488.0791,176.7249
