epoch,accuracy,bias,w1,w2,w3,w4
41,0.4500,91.2510,592.8995,267.1470,500.2991,181.1400
42,0.4500,93.4511,607.3445,273.6571,512.5192,185.5550
43,0.4500,95.6512,621.7896,280.1672,524.7392,189.9700
44,0.4500,97.8514,636.2346,286.6773,536.9592,194.3850
45,0.4500,100.0515,650.6796,293.1874,549.1793,198.8001
46,0.4500,102.2516,665.1246,299.6975,561.3993,203.2151
47,0.4500,104.4518,679.5696,306.2076,573.6193,207.6301
48,0.4500,106.6519,694.0146,312.7177,585.8394,212.0451
49,0.4500,108.8520,708.4596,319.2278,598.0594,216.4602
50,0.4500,111.0522,722.9046,325.7379,610.2794,220.8752
51,0.4500,113.2523,737.3496,332.2480,622.4995,225.2902
52,0.4500,115.4524,751.7946,338.7581,634.7195,229.7052
53,0.4500,117.6526,766.2396,345.2682,646.9395,234.1203
54,0.4500,119.8527,780.6846,351.7783,659.1595,238.5353
55,0.4500,122.0528,795.1296,358.2884,671.3796,242.9503
56,0.4500,124.2530,809.5746,364.7985,683.5996,247.3653
57,0.4500,126.4531,824.0197,371.3086,695.8196,251.7803
58,0.4500,128.6532,838.4647,377.8187,708.0397,256.1954
59,0.4500,130.8534,852.9097,384.3288,720.2597,260.6103
60,0.4500,133.0535,867.3547,390.8389,732.4797,265.0252
61,0.4500,135.2536,881.7997,397.3490,744.6998,269.4401
62,0.4500,137.4538,896.2447,403.8591,756.9198,273.8550
63,0.4500,139.6539,910.6897,410.3692,769.1398,278.2700
64,0.4500,141.8540,925.1347,416.8793,781.3599,282.6849
65,0.4500,144.0542,939.5797,423.3894,793.5799,287.0998
66,0.4500,146.2543,954.0247,429.8995,805.7999,291.5147
67,0.4500,148.4545,968.4697,436.4096,818.0200,295.9296
68,0.4500,150.6546,982.9147,442.9197,830.2400,300.3445
69,0.4500,152.8547,997.3597,449.4298,842.4600,304.7595
70,0.4500,155.0549,1011.8047,455.9399,854.6801,309.1744
71,0.4500,157.2550,1026.2498,462.4500,866.9001,313.5893
72,0.4500,159.4551,1040.6942,468.9601,879.1201,318.0042
73,0.4500,161.6553,1055.1387,475.4702,891.3401,322.4191
74,0.4500,163.8554,1069.5831,481.9803,903.5602,326.8340
75,0.4500,166.0555,1084.0276,488.4904,915.7802,331.2490
76,0.4500,168.2557,1098.4720,495.0005,928.0002,335.6639
77,0.4500,170.4558,1112.9165,501.5107,940.2203,340.0788
78,0.4500,172.6559,1127.3610,508.0208,952.4403,344.4937
79,0.4500,174.8561,1141.8054,514.5309,964.6603,348.9086
80,0.4500,177.0562,1156.2499,521.0412,976.8804,353.3235
81,0.4500,179.2563,1170.6943,527.5515,989.1004,357.7385
82,0.4500,181.4565,1185.1388,534.0617,1001.3204,362.1534
83,0.4500,183.6566,1199.5833,540.5720,1013.5405,366.5683
84,0.4500,185.8567,1214.0277,547.0822,1025.7606,370.9832
85,0.4500,188.0569,1228.4722,553.5925,1037.9812,375.3981
86,0.4500,190.2570,1242.9166,560.1027,1050.2018,379.8130
87,0.4500,192.4571,1257.3611,566.6130,1062.4224,384.2280
88,0.4500,194.6573,1271.8055,573.1232,1074.6429,388.6429
89,0.4500,196.8574,1286.2500,579.6335,1086.8635,393.0578
90,0.4500,199.0575,1300.6945,586.1437,1099.0841,397.4727
91,0.4500,201.2577,1315.1389,592.6540,1111.3047,401.8876
92,0.4500,203.4578,1329.5834,599.1642,1123.5253,406.3026
93,0.4500,205.6579,1344.0278,605.6745,1135.7458,410.7175
94,0.4500,207.8581,1358.4723,612.1848,1147.9664,415.1324
95,0.4500,210.0582,1372.9167,618.6950,1160.1870,419.5473
96,0.4500,212.2583,1387.3612,625.2053,1172.4076,423.9622
97,0.4500,214.4585,1401.8057,631.7155,1184.6282,428.3771
98,0.4500,216.6586,1416.2501,638.2258,1196.8488,432.7921
99,0.4500,218.8587,1430.6946,644.7360,1209.0693,437.2070
100,0.4500,221.0589,1445.1390,651.2463,1221.2899,441.6219
