epoch,accuracy,bias,w1,w2,w3,w4
1,0.5625,2.7500,11.4400,5.3311,10.3546,3.2963
2,0.5625,4.5000,22.8900,10.4760,19.9046,6.8163
3,0.5625,6.2500,34.3400,15.6210,29.4546,10.3363
4,0.5625,8.0000,45.7900,20.7660,39.0046,13.8563
5,0.5625,9.7500,57.2400,25.9110,48.5546,17.3763
6,0.5625,11.5000,68.6900,31.0560,58.1046,20.8963
7,0.5625,13.2500,80.1400,36.2010,67.6546,24.4163
8,0.5625,15.0000,91.5900,41.3460,77.2046,27.9363
9,0.5625,16.7500,103.0400,46.4910,86.7546,31.4563
10,0.5625,18.5000,114.4900,51.6360,96.3046,34.9763
11,0.5625,20.2500,125.9400,56.7810,105.8546,38.4963
12,0.5625,22.0000,137.3900,61.9260,115.4046,42.0163
13,0.5625,23.7499,148.8401,67.0710,124.9545,45.5363
14,0.5625,25.4999,160.2901,72.2160,134.5045,49.0563
15,0.5625,27.2499,171.7401,77.3611,144.0545,52.5763
16,0.5625,28.9998,183.1901,82.5061,153.6045,56.0964
17,0.5625,30.7498,194.6401,87.6511,163.1545,59.6164
18,0.5625,32.4998,206.0901,92.7961,172.7045,63.1364
19,0.5625,34.2498,217.5401,97.9411,182.2545,66.6563
20,0.5625,35.9997,228.9901,103.0862,191.8046,70.1763
21,0.5625,37.7497,240.4402,108.2312,201.3546,73.6963
22,0.5625,39.4997,251.8902,113.3762,210.9046,77.2163
23,0.5625,41.2497,263.3401,118.5212,220.4546,80.7363
24,0.5625,42.9996,274.7902,123.6662,230.0046,84.2562
25,0.5625,44.7496,286.2402,128.8112,239.5546,87.7762
26,0.5625,46.4996,297.6903,133.9562,249.1046,91.2962
27,0.5625,48.2495,309.1403,139.1011,258.6546,94.8162
28,0.5625,49.9995,320.5904,144.2461,268.2046,98.3362
29,0.5625,51.7495,332.0404,149.3910,277.7545,101.8561
30,0.5625,53.4995,343.4904,154.5360,287.3045,105.3761
31,0.5625,55.2494,354.9405,159.6809,296.8545,108.8961
32,0.5625,56.9994,366.3905,164.8259,306.4045,112.4161
33,0.5625,58.7494,377.8406,169.9708,315.9545,115.9361
34,0.5625,60.4994,389.2906,175.1157,325.5045,119.4561
35,0.5625,62.2493,400.7407,180.2607,335.0545,122.9760
36,0.5625,63.9993,412.1907,185.4056,344.6045,126.4960
37,0.5625,65.7494,423.6407,190.5506,354.1544,130.0160
38,0.5625,67.4995,435.0908,195.6955,363.7044,133.5360
39,0.5625,69.2496,446.5408,200.8405,373.2544,137.0560
40,0.5625,70.9997,457.9909,205.9854,382.8044,140.5760
41,0.5625,72.7498,469.4409,211.1303,392.3544,144.0960
42,0.5625,74.4999,480.8910,216.2753,401.9044,147.6160
43,0.5625,76.2501,492.3410,221.4202,411.4544,151.1360
44,0.5625,78.0002,503.7910,226.5652,421.0044,154.6560
45,0.5625,79.7503,515.2411,231.7101,430.5544,158.1760
46,0.5625,81.5004,526.6911,236.8551,440.1043,161.6960
47,0.5625,83.2505,538.1411,242.0000,449.6543,165.2160
48,0.5625,85.0006,549.5911,247.1449,459.2043,168.7361
49,0.5625,86.7507,561.0411,252.2899,468.7543,172.2561
50,0.5625,88.5008,572.4911,257.4348,478.3043,175.7761
51,0.5625,90.2509,583.9412,262.5800,487.8543,179.2961
52,0.5625,92.0010,595.3912,267.7251,497.4043,182.8161
53,0.5625,93.7511,606.8412,272.8702,506.9543,186.3361
54,0.5625,95.5012,618.2912,278.0153,516.5044,189.8561
55,0.5625,97.2513,629.7412,283.1604,526.0546,193.3761
56,0.5625,99.0014,641.1912,288.3055,535.6049,196.8961
57,0.5625,100.7515,652.6412,293.4506,545.1551,200.4161
58,0.5625,102.5017,664.0912,298.5957,554.7053,203.9361
59,0.5625,104.2518,675.5413,303.7408,564.2556,207.4561
60,0.5625,106.0019,686.9913,308.8860,573.8058,210.9761
61,0.5625,107.7520,698.4413,314.0311,583.3560,214.4961
62,0.5625,109.5021,709.8913,319.1762,592.9062,218.0161
63,0.5625,111.2522,721.3413,324.3213,602.4565,221.5361
64,0.5625,113.0023,732.7913,329.4664,612.0067,225.0561
65,0.5625,114.7524,744.2413,334.6115,621.5569,228.5761
66,0.5625,116.5025,755.6913,339.7566,631.1072,232.0961
67,0.5625,118.2526,767.1414,344.9017,640.6574,235.6161
68,0.5625,120.0027,778.5914,350.0468,650.2076,239.1361
69,0.5625,121.7528,790.0414,355.1920,659.7579,242.6561
70,0.5625,123.5029,801.4914,360.3371,669.3081,246.1761
71,0.5625,125.2530,812.9414,365.4822,678.8583,249.6962
72,0.5625,127.0032,824.3914,370.6273,688.4086,253.2162
73,0.5625,128.7533,835.8414,375.7724,697.9588,256.7361
74,0.5625,130.5034,847.2914,380.9175,707.5090,260.2561
75,0.5625,132.2535,858.7415,386.0626,717.0593,263.7762
76,0.5625,134.0036,870.1915,391.2077,726.6095,267.2962
77,0.5625,135.7537,881.6415,396.3528,736.1597,270.8162
78,0.5625,137.5038,893.0915,401.4980,745.7100,274.3362
79,0.5625,139.2539,904.5415,406.6431,755.2602,277.8562
80,0.5625,141.0040,915.9915,411.7882,764.8104,281.3763
81,0.5625,142.7541,927.4415,416.9333,774.3607,284.8963
82,0.5625,144.5042,938.8915,422.0784,783.9109,288.4163
83,0.5625,146.2543,950.3416,427.2235,793.4611,291.9363
84,0.5625,148.0044,961.7916,432.3686,803.0114,295.4563
85,0.5625,149.7545,973.2416,437.5137,812.5616,298.9763
86,0.5625,151.5046,984.6916,442.6588,822.1118,302.4964
87,0.5625,153.2547,996.1416,447.8040,831.6620,306.0164
88,0.5625,155.0049,1007.5916,452.9491,841.2123,309.5364
89,0.5625,156.7550,1019.0416,458.0942,850.7625,313.0564
90,0.5625,158.5051,1030.4913,463.2393,860.3127,316.5764
91,0.5625,160.2552,1041.9409,468.3844,869.8630,320.0965
92,0.5625,162.0053,1053.3905,473.5295,879.4132,323.6165
93,0.5625,163.7554,1064.8401,478.6746,888.9634,327.1365
94,0.5625,165.5055,1076.2897,483.8197,898.5137,330.6565
95,0.5625,167.2556,1087.7393,488.9648,908.0639,334.1765
96,0.5625,169.0057,1099.1888,494.1100,917.6141,337.6966
97,0.5625,170.7558,1110.6384,499.2551,927.1644,341.2166
98,0.5625,172.5059,1122.0880,504.4002,936.7146,344.7366
99,0.5625,174.2560,1133.5376,509.5453,946.2648,348.2566
100,0.5625,176.0061,1144.9872,514.6906,955.8151,351.7766
