epoch,accuracy,bias,w1,w2,w3,w4
73,0.4875,150.6546,980.2227,447.9636,828.2872,304.5895
74,0.4875,152.7047,993.6427,454.1037,839.6223,308.7544
75,0.4875,154.7548,1007.0627,460.2438,850.9573,312.9194
76,0.4875,156.8050,1020.4827,466.3840,862.2924,317.0843
77,0.4875,158.8551,1033.9023,472.5241,873.6275,321.2493
78,0.4875,160.9052,1047.3218,478.6642,884.9626,325.4142
79,0.4875,162.9553,1060.7412,484.8044,896.2977,329.5792
80,0.4875,165.0055,1074.1606,490.9445,907.6328,333.7441
81,0.4875,167.0556,1087.5801,497.0847,918.9678,337.9091
82,0.4875,169.1057,1100.9995,503.2248,930.3029,342.0740
83,0.4875,171.1558,1114.4189,509.3649,941.6380,346.2390
84,0.4875,173.2060,1127.8384,515.5052,952.9731,350.4039
85,0.4875,175.2561,1141.2578,521.6455,964.3082,354.5688
86,0.4875,177.3062,1154.6772,527.7858,975.6432,358.7338
87,0.4875,179.3563,1168.0967,533.9261,986.9783,362.8987
88,0.4875,181.4065,1181.5161,540.0665,998.3134,367.0637
89,0.4875,183.4566,1194.9355,546.2068,1009.6485,371.2286
90,0.4875,185.5067,1208.3550,552.3471,1020.9836,375.3936
91,0.4875,187.5568,1221.7744,558.4874,1032.3188,379.5585
92,0.4875,189.6070,1235.1938,564.6277,1043.6544,383.7235
93,0.4875,191.6571,1248.6133,570.7681,1054.9900,387.8884
94,0.4875,193.7072,1262.0327,576.9084,1066.3256,392.0534
95,0.4875,195.7573,1275.4521,583.0487,1077.6611,396.2183
96,0.4875,197.8075,1288.8716,589.1890,1088.9967,400.3833
97,0.4875,199.8576,1302.2910,595.3293,1100.3323,404.5482
98,0.4875,201.9077,1315.7104,601.4697,1111.6678,408.7132
99,0.4875,203.9578,1329.1299,607.6100,1123.0034,412.8781
100,0.4875,206.0080,1342.5493,613.7503,1134.3390,417.0431
