epoch,accuracy,bias,w1,w2,w3,w4
1,0.4875,3.0500,13.9829,5.8808,12.1643,4.7101
2,0.4875,5.1000,27.4029,12.0208,23.4993,8.8751
3,0.4875,7.1500,40.8229,18.1608,34.8343,13.0401
4,0.4875,9.2000,54.2429,24.3008,46.1693,17.2051
5,0.4875,11.2500,67.6629,30.4408,57.5043,21.3701
6,0.4875,13.3000,81.0829,36.5808,68.8393,25.5351
7,0.4875,15.3500,94.5029,42.7208,80.1743,29.7001
8,0.4875,17.4000,107.9229,48.8608,91.5093,33.8651
9,0.4875,19.4500,121.3429,55.0008,102.8443,38.0301
10,0.4875,21.5000,134.7629,61.1408,114.1793,42.1951
11,0.4875,23.5499,148.1829,67.2808,125.5143,46.3602
12,0.4875,25.5999,161.6030,73.4208,136.8493,50.5252
13,0.4875,27.6499,175.0230,79.5608,148.1843,54.6902
14,0.4875,29.6998,188.4430,85.7008,159.5193,58.8552
15,0.4875,31.7498,201.8630,91.8408,170.8543,63.0202
16,0.4875,33.7998,215.2830,97.9809,182.1893,67.1852
17,0.4875,35.8497,228.7030,104.1209,193.5243,71.3501
18,0.4875,37.8997,242.1230,110.2609,204.8593,75.5151
19,0.4875,39.9497,255.5430,116.4009,216.1943,79.6801
20,0.4875,41.9996,268.9630,122.5409,227.5293,83.8451
21,0.4875,44.0496,282.3831,128.6809,238.8643,88.0100
22,0.4875,46.0996,295.8031,134.8208,250.1993,92.1750
23,0.4875,48.1496,309.2231,140.9607,261.5343,96.3400
24,0.4875,50.1995,322.6431,147.1007,272.8694,100.5050
25,0.4875,52.2495,336.0631,153.2406,284.2044,104.6700
26,0.4875,54.2995,349.4831,159.3805,295.5394,108.8349
27,0.4875,56.3494,362.9031,165.5204,306.8744,112.9999
28,0.4875,58.3994,376.3232,171.6604,318.2094,117.1649
29,0.4875,60.4494,389.7432,177.8003,329.5445,121.3299
30,0.4875,62.4993,403.1632,183.9402,340.8795,125.4949
31,0.4875,64.5493,416.5832,190.0801,352.2145,129.6599
32,0.4875,66.5995,430.0032,196.2200,363.5495,133.8249
33,0.4875,68.6496,443.4232,202.3600,374.8846,137.9899
34,0.4875,70.6997,456.8432,208.4999,386.2196,142.1549
35,0.4875,72.7498,470.2632,214.6398,397.5546,146.3199
36,0.4875,74.8000,483.6833,220.7797,408.8896,150.4849
37,0.4875,76.8501,497.1033,226.9197,420.2246,154.6499
38,0.4875,78.9002,510.5233,233.0596,431.5597,158.8149
39,0.4875,80.9503,523.9433,239.1995,442.8947,162.9799
40,0.4875,83.0005,537.3633,245.3394,454.2297,167.1449
41,0.4875,85.0506,550.7833,251.4794,465.5647,171.3099
42,0.4875,87.1007,564.2032,257.6193,476.8997,175.4749
43,0.4875,89.1508,577.6232,263.7595,488.2348,179.6400
44,0.4875,91.2010,591.0432,269.8996,499.5698,183.8050
45,0.4875,93.2511,604.4632,276.0397,510.9048,187.9700
46,0.4875,95.3012,617.8832,282.1799,522.2399,192.1350
47,0.4875,97.3513,631.3032,288.3200,533.5750,196.3000
48,0.4875,99.4015,644.7231,294.4601,544.9101,200.4650
49,0.4875,101.4516,658.1431,300.6003,556.2452,204.6300
50,0.4875,103.5017,671.5631,306.7404,567.5803,208.7950
51,0.4875,105.5518,684.9831,312.8806,578.9153,212.9600
52,0.4875,107.6020,698.4031,319.0207,590.2504,217.1250
53,0.4875,109.6521,711.8231,325.1608,601.5855,221.2900
54,0.4875,111.7022,725.2430,331.3010,612.9206,225.4550
55,0.4875,113.7523,738.6630,337.4411,624.2557,229.6201
56,0.4875,115.8025,752.0830,343.5812,635.5908,233.7851
57,0.4875,117.8526,765.5030,349.7214,646.9258,237.9501
58,0.4875,119.9027,778.9230,355.8615,658.2609,242.1151
59,0.4875,121.9528,792.3430,362.0016,669.5960,246.2801
60,0.4875,124.0030,805.7629,368.1418,680.9311,250.4451
61,0.4875,126.0531,819.1829,374.2819,692.2662,254.6101
62,0.4875,128.1032,832.6029,380.4221,703.6013,258.7751
63,0.4875,130.1533,846.0229,386.5622,714.9363,262.9400
64,0.4875,132.2035,859.4429,392.7023,726.2714,267.1049
65,0.4875,134.2536,872.8629,398.8425,737.6065,271.2699
66,0.4875,136.3037,886.2828,404.9826,748.9416,275.4348
67,0.4875,138.3538,899.7028,411.1227,760.2767,279.5998
68,0.4875,140.4040,913.1228,417.2629,771.6118,283.7647
69,0.4875,142.4541,926.5428,423.4030,782.9468,287.9297
70,0.4875,144.5042,939.9628,429.5432,794.2819,292.0946
71,0.4875,146.5543,953.3828,435.6833,805.6170,296.2596
72,0.4875,148.6045,966.8027,441.8234,816.9521,300.4245
